system,body,name,sort_order,location_type,is_active,is_trade_terminal,is_freight_elevator,confidence,notes
Pyro,Pyro VI,Supply Gap,15,outpost,true,false,false,verified,Citizens for Prosperity
Pyro,Pyro VI,Watcher's Depot,16,outpost,true,false,false,verified,
Pyro,Vatra,Vatra,1,moon,true,false,false,verified,Pyro V moon; hydrocarbon lakes; below -100 C
Pyro,Vatra,Seer's Canyon,2,outpost,true,false,false,verified,Headhunters scrapyard
Pyro,Vuur,Vuur,1,moon,true,false,false,verified,Pyro V moon; carbon-rich; ~-20 C
Stanton,Aberdeen,Aberdeen,1,moon,true,false,false,verified,
Stanton,Aberdeen,HDMS-Norgaard,2,mining-outpost,true,true,true,verified,
Stanton,Aberdeen,HDMS-Anderson,3,mining-outpost,true,true,true,verified,
Stanton,Aberdeen,Klescher Rehabilitation Facility,4,prison,true,false,false,verified,"On Aberdeen, NOT Cellin"
Stanton,Aberdeen,Barton Flats Aid Shelter,5,aid-shelter,true,false,false,verified,Has ASOP terminal; 11 km from Klescher
Stanton,Aberdeen,Ruptura OLP,6,outpost,false,false,false,verified,Decommissioned Hathor Group OLP
Stanton,Aberdeen,Vivere OLP,7,outpost,false,false,false,verified,Decommissioned Hathor Group OLP
Stanton,ArcCorp,Area 18 (ArcCorp),1,city,true,true,true,verified,TDD at ArcCorp Plaza
Stanton,ArcCorp,Baijini Point,2,station,true,true,true,verified,Geostationary orbital station above Area 18
Stanton,ArcCorp,ARC-L1 Wide Forest Station,3,rest-stop,true,true,true,verified,Has refinery
Stanton,ArcCorp,ARC-L2 Lively Pathway Station,4,rest-stop,true,true,true,verified,
Stanton,ArcCorp,ARC-L3 Modern Express Station,5,rest-stop,true,true,true,verified,
Stanton,ArcCorp,ARC-L4 Faint Glen Station,6,rest-stop,true,true,true,verified,
Stanton,ArcCorp,ARC-L5 Yellow Core Station,7,rest-stop,true,true,true,verified,
Stanton,Arial,Arial,1,moon,true,false,false,verified,
Stanton,Arial,HDMS-Bezdek,2,mining-outpost,true,true,true,verified,
Stanton,Arial,HDMS-Lathan,3,mining-outpost,true,true,true,verified,
Stanton,Calliope,Calliope,1,moon,true,false,false,verified,
Stanton,Calliope,Rayari Anvik Research Outpost,2,research,true,true,false,verified,On Calliope moon
Stanton,Calliope,Rayari Kaltag Research Outpost,3,research,true,true,false,verified,
Stanton,Calliope,Shubin Mining Facility SMCa-6,4,mining-outpost,true,true,true,verified,
Stanton,Calliope,Shubin Mining Facility SMCa-8,5,mining-outpost,true,true,true,verified,
Stanton,Cellin,Cellin,1,moon,true,false,false,verified,
Stanton,Cellin,Security Post Kareah,2,security-post,true,false,false,verified,Orbits Cellin; CrimeStat clearance only — no commodity trade
Stanton,Cellin,Gallete Family Farms,3,settlement,true,false,false,verified,
Stanton,Cellin,Terra Mills HydroFarm,4,settlement,true,false,false,verified,
Stanton,Cellin,Hickes Research Outpost,5,research,true,false,false,verified,
Stanton,Cellin,Tram & Myers Mining,6,mining-outpost,true,false,false,verified,"On Cellin, not Clio"
Stanton,Clio,Clio,1,moon,true,false,false,verified,Largest MicroTech moon; liquid oceans
Stanton,Clio,Rayari Cantwell Research Outpost,2,research,true,true,false,verified,Up to 5000 SCU cargo capacity
Stanton,Clio,Rayari McGrath Research Outpost,3,research,true,true,false,verified,
Stanton,Crusader,Orison (Crusader),1,city,true,true,true,verified,Floating city; TDD at Cloudview Center
Stanton,Crusader,Seraphim Station,2,station,true,true,true,verified,Replaced Port Olisar (Alpha 3.20)
Stanton,Crusader,CRU-L1 Ambitious Dream Station,3,rest-stop,true,true,true,verified,Has refinery
Stanton,Crusader,CRU-L4 Shallow Fields Station,4,rest-stop,true,true,true,verified,
Stanton,Crusader,CRU-L5 Beautiful Glen Station,5,rest-stop,true,true,true,verified,
Stanton,Crusader,Port Olisar,99,station,false,false,false,verified,Removed in Alpha 3.20.0; replaced by Seraphim Station
Stanton,Daymar,Daymar,1,moon,true,false,false,verified,
Stanton,Daymar,Shubin Mining Facility SCD-1,2,mining-outpost,true,true,true,verified,Major commodity hub on Daymar
Stanton,Daymar,ArcCorp Mining Area 141,3,mining-outpost,true,true,true,verified,"Major commodity hub; sells Agricium, RMC, Construction Materials"
Stanton,Daymar,Bountiful Harvest Hydroponics,4,settlement,true,true,false,verified,Buys agri/medical; sells food and distilled spirits
Stanton,Daymar,Brio's Breaker Yard,5,salvage,true,false,false,verified,
Stanton,Daymar,Kudre Ore,6,mining-outpost,true,false,false,verified,
Stanton,Daymar,Nuen Waste Management,7,facility,true,false,false,verified,
Stanton,Daymar,Jumptown,8,drug-lab,true,true,false,verified,Produces WiDoW; notorious PvP hotspot
Stanton,Daymar,Attritus OLP,9,outpost,false,false,false,verified,Hathor Group PAF; decommissioned
Stanton,Daymar,Lamina OLP,10,outpost,false,false,false,verified,Hathor Group PAF; decommissioned
Stanton,Deep Space,Magnus Gateway,1,jump-point,true,false,false,verified,
Stanton,Deep Space,Pyro Gateway (Stanton),2,jump-point,true,false,false,verified,
Stanton,Deep Space,Covalex Hub Gundo,3,facility,true,false,false,community-sourced,
Stanton,Euterpe,Euterpe,1,moon,true,false,false,verified,Smallest MicroTech moon; frozen oceans
Stanton,Euterpe,Bud's Growery,2,settlement,true,true,false,verified,
Stanton,Euterpe,Devlin Scrap & Salvage,3,salvage,true,true,false,verified,
Stanton,Hurston,Lorville (Hurston),1,city,true,true,true,verified,TDD (Transfers Commodity Exchange) in Central Business District
Stanton,Hurston,Everus Harbor,2,station,true,true,true,verified,Geostationary orbital station above Lorville
Stanton,Hurston,HUR-L1 Green Glade Station,3,rest-stop,true,true,true,verified,Has refinery
Stanton,Hurston,HUR-L2 Faithful Dream Station,4,rest-stop,true,true,true,verified,
Stanton,Hurston,HUR-L3 Thundering Express Station,5,rest-stop,true,true,true,verified,
Stanton,Hurston,HUR-L4 Melodic Fields Station,6,rest-stop,true,true,true,verified,
Stanton,Hurston,HUR-L5 High Course Station,7,rest-stop,true,true,true,verified,
Stanton,Hurston,HDMS-Edmond,8,mining-outpost,true,true,true,verified,Hurston planet surface
Stanton,Hurston,HDMS-Hadley,9,mining-outpost,true,true,true,verified,Hurston planet surface
Stanton,Hurston,HDMS-Oparei,10,mining-outpost,true,true,true,verified,Hurston planet surface
Stanton,Hurston,HDMS-Pinewood,11,mining-outpost,true,true,true,verified,Hurston planet surface
Stanton,Hurston,HDMS-Stanhope,12,mining-outpost,true,true,true,verified,Hurston planet surface
Stanton,Hurston,HDMS-Thedus,13,mining-outpost,true,true,true,verified,Hurston planet surface
Stanton,Hurston,Covalex Distribution Centre S1DC06,14,facility,true,true,true,verified,Public-access distribution centre
Stanton,Hurston,Dupree Industrial Manufacturing Facility,15,facility,true,true,true,verified,Distribution centre with commodity trading
Stanton,Hurston,Reclamation & Disposal Orinth,16,facility,true,false,false,verified,
Stanton,Hurston,Zephyr,20,settlement,true,false,false,verified,"Derelict; has bar/store, no commodity terminal"
Stanton,Hurston,Ludlow,21,settlement,true,false,false,verified,Built from 600i hull
Stanton,Hurston,Maker's Point,22,settlement,true,false,false,verified,
Stanton,Hurston,Picker's Field,23,settlement,true,false,false,verified,
Stanton,Hurston,Finn's Folly,24,settlement,true,false,false,verified,Built around a derelict shipwreck
Stanton,Hurston,Weeping Cove,25,settlement,true,false,false,verified,
Stanton,Hurston,Cutter's Rig,26,settlement,true,false,false,verified,Offshore platform on a lake
Stanton,Hurston,Rappel,27,settlement,true,false,false,verified,
Stanton,Ita,Ita,1,moon,true,false,false,verified,
Stanton,Ita,HDMS-Ryder,2,mining-outpost,true,true,true,verified,
Stanton,Ita,HDMS-Woodruff,3,mining-outpost,true,true,true,verified,
Stanton,Lyria,Lyria,1,moon,true,false,false,verified,Premier Quantanium mining moon
Stanton,Lyria,Humboldt Mines,2,mining-outpost,true,true,true,verified,
Stanton,Lyria,Loveridge Mineral Reserve,3,mining-outpost,true,true,true,verified,
Stanton,Lyria,Shubin Mining Facility SAL-2,4,mining-outpost,true,true,true,verified,
Stanton,Lyria,Shubin Mining Facility SAL-5,5,mining-outpost,true,true,true,verified,
Stanton,Magda,Magda,1,moon,true,false,false,verified,
Stanton,Magda,HDMS-Hahn,2,mining-outpost,true,true,true,verified,
Stanton,Magda,HDMS-Perlman,3,mining-outpost,true,true,true,verified,
Stanton,MicroTech,New Babbage (MicroTech),1,city,true,true,true,verified,TDD in the Commons
Stanton,MicroTech,Port Tressler,2,station,true,true,true,verified,Geostationary orbital station above New Babbage
Stanton,MicroTech,MIC-L1 Shallow Frontier Station,3,rest-stop,true,true,true,verified,Has refinery
Stanton,MicroTech,MIC-L2 Long Forest Station,4,rest-stop,true,true,true,verified,
Stanton,MicroTech,MIC-L3 Endless Odyssey Station,5,rest-stop,true,true,true,verified,
Stanton,MicroTech,MIC-L4 Red Crossroads Station,6,rest-stop,true,true,true,verified,
Stanton,MicroTech,MIC-L5 Modern Icarus Station,7,rest-stop,true,true,true,verified,
Stanton,MicroTech,INS Jericho,8,station,true,false,false,verified,UEE Navy outpost near MIC-L1
Stanton,MicroTech,Shubin Mining Facility SM0-10,9,mining-outpost,true,true,true,verified,MicroTech planet surface
Stanton,MicroTech,Shubin Mining Facility SM0-13,10,mining-outpost,true,true,true,verified,MicroTech planet surface
Stanton,MicroTech,Shubin Mining Facility SM0-18,11,mining-outpost,true,true,true,verified,MicroTech planet surface
Stanton,MicroTech,Shubin Mining SM0-22,12,mining-outpost,true,true,true,verified,MicroTech planet surface
Stanton,MicroTech,Rayari Deltana Research Outpost,13,research,true,true,false,verified,MicroTech planet surface (not Euterpe)
Stanton,MicroTech,Greycat Stanton IV Production Complex-A,14,facility,true,true,true,verified,Distribution centre; large hangar
Stanton,MicroTech,MicroTech Logistics Depot S4LD01,15,facility,true,true,false,verified,
Stanton,MicroTech,MicroTech Logistics Depot S4LD13,16,facility,true,true,false,verified,
Stanton,MicroTech,Outpost 54,17,outpost,true,true,false,verified,
Stanton,MicroTech,The Necropolis,18,outpost,true,false,false,verified,MicroTech surface
Stanton,MicroTech,Dunboro,19,settlement,true,false,false,verified,Built around derelict Reclaimer wreck
Stanton,Wala,Wala,1,moon,true,false,false,verified,
Stanton,Wala,ICC ScanHub Stanton,2,outpost,false,false,false,verified,Removed in Alpha 3.0 (Dec 2017)
Stanton,Wala,ArcCorp Mining Area 045,3,mining-outpost,true,true,true,verified,
Stanton,Wala,ArcCorp Mining Area 048,4,mining-outpost,true,true,true,verified,
Stanton,Wala,ArcCorp Mining Area 056,5,mining-outpost,true,true,true,verified,
Stanton,Wala,ArcCorp Mining Area 061,6,mining-outpost,true,true,true,verified,
Stanton,Wala,Paradise Cove,7,drug-lab,true,true,false,verified,Jumptown 2.1 event; illegal goods
Stanton,Wala,Samson & Son's Salvage Center,8,salvage,true,true,false,verified,
Stanton,Wala,Shady Glen Farms,9,settlement,true,true,false,verified,
Stanton,Yela,Yela,1,moon,true,false,false,verified,Has the only asteroid belt in Stanton
Stanton,Yela,Grim HEX,2,station,true,true,false,verified,Outlaw station inside asteroid belt; Nine Tails HQ
Stanton,Yela,ArcCorp Mining Area 157,3,mining-outpost,true,true,true,verified,"On Yela; has commodity trade, habitation, storage"
Stanton,Yela,Wikelo Emporium Selo Station,4,station,true,true,false,verified,Banu merchant asteroid station near Yela
Stanton,Yela,Benson Mining Outpost,5,mining-outpost,true,false,false,verified,
Stanton,Yela,Deakins Research Outpost,6,research,true,false,false,verified,
Stanton,Yela,Security Post Opal,7,security-post,true,false,false,verified,
Stanton,Yela,Security Post Wan,8,security-post,true,false,false,verified,
Stanton,Yela,Benny Henge,9,landmark,true,false,false,verified,Easter egg; Big Benny machines in Stonehenge formation
